time/total_timesteps,time/iterations,time/time_elapsed,train/reward,time/fps,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/clip_range,train/std,train/value_loss,train/n_updates,train/approx_kl,train/explained_variance
2048,1,9,-0.09880945,227,,,,,,,,,,,
4096,2,18,-0.27510545,225,-36.916871070861816,-0.028505933983251453,0.180859375,0.00025,0.6474725008010864,0.2,1.0014255046844482,2.080327659845352,10,0.014528083,0.07136678695678711
6144,3,27,0.009974563,225,-36.98878436088562,-0.029175988317001612,0.212646484375,0.00025,0.13513627648353577,0.2,1.0058207511901855,1.4712784502655267,20,0.020171879,0.0035920143127441406
8192,4,36,-0.16167423,226,-37.051385045051575,-0.03238024403690361,0.20537109375,0.00025,0.09383612871170044,0.2,1.0064526796340942,1.2618080154061317,30,0.017385535,0.10139429569244385
10240,5,45,-0.5073979,223,-37.077033162117004,-0.02307040476880502,0.13310546875,0.00025,2.505044937133789,0.2,1.0079659223556519,3.0179561115801334,40,0.011763317,0.0138130784034729
12288,6,55,-0.012184165,223,-37.13436057567596,-0.024845646863104774,0.238134765625,0.00025,0.14072981476783752,0.2,1.0109999179840088,1.1535482734441758,50,0.02394449,0.2453376054763794
14336,7,63,-0.38039717,224,-37.17621672153473,-0.02112432646099478,0.1724609375,0.00025,1.0794540643692017,0.2,1.0110981464385986,2.953914473205805,60,0.016427156,0.11509925127029419
16384,8,72,-0.014940992,225,-37.209526777267456,-0.02236803865234833,0.178515625,0.00025,0.37123897671699524,0.2,1.0141959190368652,2.0587469927966593,70,0.020598581,0.24687469005584717
18432,9,82,0.134581,223,-37.279268217086795,-0.026104075319017282,0.202978515625,0.00025,0.3413486182689667,0.2,1.0156140327453613,1.635574608296156,80,0.019078564,0.38043367862701416
20480,10,91,-0.7199626,223,-37.30797593593597,-0.028967302455566824,0.161083984375,0.00025,0.9887800216674805,0.2,1.0167958736419678,3.453394204378128,90,0.015036127,0.09148120880126953
22528,11,100,-0.29708713,223,-37.35399696826935,-0.025139419763581826,0.2705078125,0.00025,0.1858064830303192,0.2,1.0197970867156982,1.2959589533507825,100,0.025157738,0.4831468462944031
24576,12,110,0.2730454,222,-37.42793629169464,-0.025206958001945168,0.172802734375,0.00025,0.5762977004051208,0.2,1.0218262672424316,2.4215612299740314,110,0.017621465,0.17365789413452148
26624,13,119,-0.0117156105,222,-37.47037560939789,-0.0203017258332693,0.17763671875,0.00025,0.569659948348999,0.2,1.023328185081482,2.420119809359312,120,0.021085968,0.2154144048690796
28672,14,129,-0.029032167,221,-37.51046209335327,-0.02966702375560999,0.253857421875,0.00025,0.3451874852180481,0.2,1.0251319408416748,1.4689743172377348,130,0.025351517,0.4555501341819763
30720,15,140,-0.47231066,218,-37.55332260131836,-0.02026007493841462,0.1603515625,0.00025,2.13356351852417,0.2,1.0266506671905518,4.920017224550247,140,0.017471397,0.03468197584152222
32768,16,152,-3.8889678,214,-37.57739903926849,-0.017030114197405057,0.089599609375,0.00025,8.139792442321777,0.2,1.0267984867095947,16.579943937063216,150,0.008895387,0.09850281476974487
34816,17,164,0.102693684,211,-37.58351731300354,-0.0128136867453577,0.110546875,0.00025,7.8311767578125,0.2,1.0273821353912354,16.90825250148773,160,0.0115765035,0.13258790969848633
36864,18,176,2.6769717,208,-37.59781217575073,-0.01889392542943824,0.12099609375,0.00025,4.341341495513916,0.2,1.0279101133346558,11.018189677596093,170,0.015659105,0.21863216161727905
38912,19,188,3.1048417,205,-37.611537265777585,-0.020293877678341232,0.11240234375,0.00025,10.510924339294434,0.2,1.0284936428070068,20.06246737241745,180,0.012649439,0.23273372650146484
40960,20,200,0.30830663,204,-37.62150731086731,-0.01678730925923446,0.132177734375,0.00025,3.4809060096740723,0.2,1.0287610292434692,11.255912807583808,190,0.012899054,0.15774321556091309
43008,21,211,1.3983332,203,-37.63281400203705,-0.015693621858372354,0.0865234375,0.00025,14.872750282287598,0.2,1.0293464660644531,32.21321069002151,200,0.0121330395,0.1593300700187683
45056,22,222,-0.43759963,202,-37.646917128562926,-0.011011623390368186,0.069677734375,0.00025,40.986900329589844,0.2,1.0297824144363403,82.77783262729645,210,0.0091742575,0.05631452798843384
47104,23,233,0.39590177,201,-37.656130003929135,-0.015476347497315145,0.0640625,0.00025,6.800638198852539,0.2,1.0301778316497803,16.203461629152297,220,0.009942692,0.2077023983001709
49152,24,244,2.6554108,201,-37.66361799240112,-0.009033270893269219,0.035546875,0.00025,64.81076049804688,0.2,1.0302841663360596,82.95740394592285,230,0.0061716894,0.1273939609527588
51200,25,255,-0.2880914,200,-37.67224383354187,-0.012859587278217077,0.128076171875,0.00025,6.209512710571289,0.2,1.0308412313461304,16.605677551031114,240,0.013486263,0.10995334386825562
53248,26,265,0.30654564,200,-37.67815272808075,-0.009681798687961419,0.025048828125,0.00025,24.44795799255371,0.2,1.0307657718658447,92.54653933048249,250,0.005057296,0.08811146020889282
55296,27,274,-0.94072074,201,-37.683536005020144,-0.012031337938969955,0.0603515625,0.00025,26.870594024658203,0.2,1.0313228368759155,54.41691294908524,260,0.0086151045,0.22061139345169067
57344,28,283,-0.9566991,202,-37.69321854114533,-0.02067795780603774,0.1419921875,0.00025,4.936636447906494,0.2,1.0315947532653809,11.193728798627854,270,0.016065072,0.6815356612205505
59392,29,292,1.3189858,203,-37.705752515792845,-0.010874416443402878,0.0673828125,0.00025,20.66671371459961,0.2,1.0323208570480347,40.99945092201233,280,0.008585939,0.38063693046569824
61440,30,301,0.5470173,203,-37.71955423355102,-0.016151703934883698,0.1048828125,0.00025,7.870549201965332,0.2,1.0325411558151245,17.612661367654802,290,0.01137682,0.22768712043762207
63488,31,310,4.0772943,204,-37.723890495300296,-0.010067049459030386,0.033837890625,0.00025,17.937692642211914,0.2,1.0327268838882446,54.875569474697116,300,0.005741884,0.21468770503997803
65536,32,319,-1.3434781,205,-37.73020858764649,-0.010821342533745337,0.07080078125,0.00025,45.893306732177734,0.2,1.0330848693847656,83.10060744285583,310,0.009748918,0.20480775833129883
67584,33,329,1.6598325,205,-37.73741776943207,-0.013355402869638055,0.17158203125,0.00025,14.954989433288574,0.2,1.0335934162139893,26.824682116508484,320,0.015872177,0.32520389556884766
69632,34,337,21.523079,206,-37.753248596191405,-0.009761133347637951,0.039794921875,0.00025,88.15213775634766,0.2,1.0340501070022583,231.58026671409607,330,0.005853329,0.06418997049331665
71680,35,347,0.23919451,206,-37.7627810716629,-0.010904849690268748,0.08310546875,0.00025,69.62012481689453,0.2,1.0343329906463623,92.96369850635529,340,0.008815802,0.1709444522857666
73728,36,355,-2.1709468,207,-37.77459757328033,-0.013387304751086048,0.078955078125,0.00025,16.57520866394043,0.2,1.0350342988967896,31.282446885108946,350,0.010044546,0.439411997795105
