train/entropy_loss,train/learning_rate,time/time_elapsed,train/std,train/policy_loss,train/n_updates,train/value_loss,time/fps,time/total_timesteps,time/iterations,train/reward,train/explained_variance
-37.00201416015625,0.0007,3,1.0043858289718628,-50.035911560058594,99,2.2342581748962402,132,500,100,-0.3080339,-0.1310591697692871
-37.05718994140625,0.0007,7,1.0066701173782349,24.517995834350586,199,0.7124356627464294,130,1000,200,0.53570265,0.13205456733703613
-37.06624984741211,0.0007,11,1.0070881843566895,-40.66796112060547,299,3.304469347000122,131,1500,300,-0.31664178,0.0
-37.03932189941406,0.0007,15,1.005630612373352,-102.75019836425781,399,20.521072387695312,131,2000,400,-0.32492882,0.0
-37.08216094970703,0.0007,19,1.0075654983520508,-21.785598754882812,499,2.766188144683838,131,2500,500,-2.310508,0.0
-37.07036209106445,0.0007,22,1.0072433948516846,153.9886932373047,599,30.238529205322266,131,3000,600,2.078992,0.002463996410369873
-37.06953811645508,0.0007,27,1.0070513486862183,6.4488019943237305,699,0.6043485403060913,127,3500,700,0.8123841,0.0056043267250061035
-37.158992767333984,0.0007,33,1.0108610391616821,-15.385154724121094,799,1.0229781866073608,120,4000,800,2.5197918,5.960464477539063e-08
-37.16236877441406,0.0007,39,1.0104113817214966,100.69486999511719,899,10.245352745056152,115,4500,900,-2.2158072,0.042731642723083496
-37.18812942504883,0.0007,44,1.0116446018218994,44.4555549621582,999,2.942293643951416,111,5000,1000,0.98374104,0.0
-37.20933532714844,0.0007,50,1.0123685598373413,395.2630615234375,1099,136.6300048828125,108,5500,1100,-2.1045024,5.960464477539063e-08
-37.223567962646484,0.0007,56,1.012937068939209,687.0931396484375,1199,513.778076171875,106,6000,1200,2.6808228,1.1920928955078125e-07
-37.25235366821289,0.0007,62,1.0143786668777466,477.26446533203125,1299,364.2168884277344,104,6500,1300,15.016732,0.0
-37.29133224487305,0.0007,67,1.0159176588058472,-34.53249740600586,1399,2.8219408988952637,103,7000,1400,-1.1656641,1.1920928955078125e-07
-37.2838249206543,0.0007,73,1.0153567790985107,-132.6719970703125,1499,15.177502632141113,101,7500,1500,0.33024102,0.0
-37.25141525268555,0.0007,79,1.0142699480056763,-6.816573143005371,1599,0.6190025806427002,100,8000,1600,-2.1877863,-2.384185791015625e-07
-37.236202239990234,0.0007,84,1.0135153532028198,40.7812614440918,1699,2.5735976696014404,101,8500,1700,-12.275477,0.0
-37.2669677734375,0.0007,87,1.0149463415145874,-150.54611206054688,1799,47.89250946044922,102,9000,1800,1.0719736,0.0
-37.291603088378906,0.0007,91,1.0155713558197021,594.720703125,1899,477.96282958984375,103,9500,1900,8.666897,0.0
-37.27394104003906,0.0007,95,1.0152000188827515,250.197021484375,1999,101.3779296875,104,10000,2000,-21.693848,0.0
-37.26969528198242,0.0007,99,1.01503586769104,-9.941755294799805,2099,8.549089431762695,105,10500,2100,-5.0970516,0.0
-37.29793930053711,0.0007,102,1.0158509016036987,-69.10823822021484,2199,4.7364044189453125,107,11000,2200,-1.5494888,0.0
-37.191688537597656,0.0007,106,1.0122498273849487,305.71343994140625,2299,59.4309196472168,107,11500,2300,-2.1867037,0.0
-37.16073226928711,0.0007,110,1.010746717453003,121.96260070800781,2399,16.048568725585938,108,12000,2400,-3.6470869,0.0
-37.177940368652344,0.0007,113,1.011384129524231,39.018699645996094,2499,12.239373207092285,109,12500,2500,-3.524199,-1.1920928955078125e-07
-37.189884185791016,0.0007,117,1.0121943950653076,285.29150390625,2599,62.265052795410156,110,13000,2600,-5.3127594,0.0
-37.24162292480469,0.0007,121,1.0139214992523193,-94.23460388183594,2699,7.871596336364746,111,13500,2700,-0.32338446,-0.2525932788848877
-37.31641387939453,0.0007,125,1.0168907642364502,36.121185302734375,2799,1.2407419681549072,111,14000,2800,-0.7248262,0.0
-37.32870101928711,0.0007,128,1.0173579454421997,49.803619384765625,2899,4.621038913726807,112,14500,2900,-0.11028037,-2.2649765014648438e-06
-37.315677642822266,0.0007,132,1.0169227123260498,172.48831176757812,2999,21.36764144897461,113,15000,3000,0.029538786,0.0
-37.37874221801758,0.0007,136,1.019199252128601,-20.40693473815918,3099,8.005051612854004,113,15500,3100,-1.4061493,0.007278859615325928
-37.368553161621094,0.0007,140,1.0191750526428223,1774.352294921875,3199,2223.531982421875,114,16000,3200,25.42959,5.960464477539063e-08
-37.34364318847656,0.0007,143,1.0183358192443848,37.04216766357422,3299,47.75440216064453,114,16500,3300,16.016123,5.960464477539063e-08
-37.37843704223633,0.0007,147,1.0196141004562378,79.56689453125,3399,3.8008646965026855,115,17000,3400,-0.004419296,0.22688829898834229
-37.46965789794922,0.0007,151,1.0232781171798706,-46.37733840942383,3499,2.2270359992980957,115,17500,3500,-0.35348254,0.0
-37.428863525390625,0.0007,154,1.0214587450027466,15.500956535339355,3599,2.5496737957000732,116,18000,3600,2.4459128,-1.1920928955078125e-07
-37.462955474853516,0.0007,158,1.0227233171463013,318.1714782714844,3699,109.74171447753906,116,18500,3700,3.3015635,0.0
-37.44796371459961,0.0007,162,1.0224093198776245,604.1940307617188,3799,392.26953125,117,19000,3800,10.023291,0.0
-37.44462585449219,0.0007,166,1.0223971605300903,2438.351318359375,3899,5069.99853515625,117,19500,3900,4.8449073,-4.00543212890625e-05
-37.49785614013672,0.0007,169,1.024285912513733,78.17682647705078,3999,141.90927124023438,117,20000,4000,15.062175,-3.349781036376953e-05
-37.5635986328125,0.0007,173,1.026911973953247,173.02394104003906,4099,24.58327865600586,118,20500,4100,-2.230024,-4.172325134277344e-06
-37.605140686035156,0.0007,177,1.028641700744629,19.979930877685547,4199,1.6606805324554443,118,21000,4200,2.070846,0.0
-37.567893981933594,0.0007,180,1.0269725322723389,-114.3327865600586,4299,9.550694465637207,118,21500,4300,2.3929763,-1.1920928955078125e-07
-37.58527374267578,0.0007,184,1.0277140140533447,125.900390625,4399,14.471246719360352,119,22000,4400,0.08864668,-1.1920928955078125e-07
-37.59288024902344,0.0007,188,1.0281237363815308,28.84914779663086,4499,3.354811191558838,119,22500,4500,5.54193,0.0
-37.6317138671875,0.0007,192,1.0298091173171997,-211.99301147460938,4599,52.523590087890625,119,23000,4600,-5.8531013,1.1920928955078125e-07
-37.67737579345703,0.0007,195,1.031248927116394,-34.73386764526367,4699,0.9919408559799194,119,23500,4700,0.5335669,0.0
-37.671348571777344,0.0007,199,1.0311064720153809,58.2286491394043,4799,3.0811309814453125,120,24000,4800,0.4397211,0.0
-37.71048355102539,0.0007,203,1.0329846143722534,-201.57142639160156,4899,37.69563674926758,120,24500,4900,0.7302198,-0.05009722709655762
-37.67205810546875,0.0007,207,1.0312180519104004,49.0601806640625,4999,13.911489486694336,120,25000,5000,0.96606004,0.0
-37.71836471557617,0.0007,210,1.0333282947540283,920.9304809570312,5099,684.6275024414062,120,25500,5100,-0.5460383,0.0
-37.7000846862793,0.0007,214,1.032609224319458,-213.6969757080078,5199,80.39046478271484,121,26000,5200,0.85870993,0.0
-37.68081283569336,0.0007,218,1.0317648649215698,-2297.53564453125,5299,3711.246826171875,121,26500,5300,-14.494937,2.384185791015625e-07
-37.70093536376953,0.0007,222,1.0326989889144897,22.374910354614258,5399,2.0918431282043457,121,27000,5400,0.45301703,-0.0738450288772583
-37.68400573730469,0.0007,225,1.0322699546813965,-55.64854049682617,5499,2.7110915184020996,121,27500,5500,-0.20738482,0.035274386405944824
