train/reward,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/clip_fraction,train/loss,train/explained_variance,train/clip_range,train/value_loss,train/std,train/learning_rate,train/approx_kl,train/entropy_loss,train/n_updates
-0.04350668,103,2048,1,19,,,,,,,,,,,
-0.40911406,101,4096,2,40,-0.03528737668239046,0.217724609375,1.1452479362487793,0.00415879487991333,0.2,3.192207358777523,1.0004055500030518,0.00025,0.01777764,-43.9974011182785,10
0.029623263,119,6144,3,51,-0.03458571666269563,0.265478515625,0.23940879106521606,-0.040992140769958496,0.2,1.7434024076908827,1.0040112733840942,0.00025,0.022437286,-44.0561000585556,20
-0.15139559,132,8192,4,61,-0.03958129755628761,0.2376953125,0.14944341778755188,0.12310981750488281,0.2,1.9025593247264623,1.00525963306427,0.00025,0.020566806,-44.133211326599124,30
-0.042701606,141,10240,5,72,-0.028367258080106695,0.151416015625,0.6550408005714417,0.04829967021942139,0.2,2.5977540858089925,1.0067319869995117,0.00025,0.013767069,-44.17322249412537,40
-0.010581631,148,12288,6,82,-0.023630665021482856,0.2837890625,-0.07253751158714294,0.47074925899505615,0.2,0.7709454759955406,1.0082197189331055,0.00025,0.024827126,-44.21974549293518,50
0.3027276,154,14336,7,92,-0.031868431554175916,0.19990234375,0.8504399061203003,0.22723686695098877,0.2,2.6442664794623854,1.0086674690246582,0.00025,0.018460624,-44.247218346595766,60
-0.012133493,159,16384,8,102,-0.025650952610885725,0.22841796875,0.6712014675140381,0.017083406448364258,0.2,2.1577291704714296,1.0106433629989624,0.00025,0.024932768,-44.27329688072204,70
0.062260047,163,18432,9,112,-0.028645193210104482,0.2640625,-0.09173345565795898,0.37427663803100586,0.2,1.0249296814203261,1.0135138034820557,0.00025,0.025862858,-44.35979228019714,80
-1.6863594,167,20480,10,122,-0.028070903522893785,0.18466796875,1.583928108215332,0.17251503467559814,0.2,3.0962479248642922,1.015159010887146,0.00025,0.017528102,-44.424124360084534,90
-0.37215996,170,22528,11,132,-0.031574664480285716,0.324072265625,-0.16068947315216064,0.6294679343700409,0.2,0.8634970385581255,1.0173537731170654,0.00025,0.027978996,-44.48112382888794,100
1.5991749,172,24576,12,142,-0.019644361163955182,0.17666015625,1.7532405853271484,0.0986560583114624,0.2,5.5522326797246935,1.018520474433899,0.00025,0.016173685,-44.53622770309448,110
0.00011103592,174,26624,13,152,-0.028136103300494143,0.234912109375,0.7643947005271912,0.30928534269332886,0.2,2.2169825702905657,1.0200226306915283,0.00025,0.021819938,-44.58217103481293,120
-0.15621528,176,28672,14,162,-0.023412916946108454,0.244140625,-0.05543464422225952,0.5195831954479218,0.2,0.8817997509613633,1.0223095417022705,0.00025,0.02591125,-44.6382702589035,130
-0.5495027,177,30720,15,173,-0.020580566002172417,0.1572265625,1.7328174114227295,0.054472923278808594,0.2,5.784206548333168,1.0237390995025635,0.00025,0.015596472,-44.690305733680724,140
-0.40226847,178,32768,16,183,-0.02997257584647741,0.2529296875,1.0721356868743896,0.23806267976760864,0.2,3.3505212776362896,1.0248854160308838,0.00025,0.027286176,-44.73021101951599,150
-2.1200273,179,34816,17,193,-0.025944215973140672,0.21416015625,0.9091768264770508,0.30003201961517334,0.2,2.8251735530793667,1.0258656740188599,0.00025,0.021773722,-44.76461591720581,160
4.0599443e-05,180,36864,18,203,-0.025407001179701183,0.211865234375,0.47348082065582275,0.0989496111869812,0.2,2.9876131817698477,1.0273455381393433,0.00025,0.022899823,-44.792711925506595,170
0.3151367,181,38912,19,213,-0.019850051749381238,0.386669921875,-0.23178786039352417,0.6537688076496124,0.2,0.44965718816965816,1.0306813716888428,0.00025,0.037484646,-44.8695651769638,180
0.59170616,182,40960,20,224,-0.01667628861614503,0.21259765625,1.6179180145263672,0.04769867658615112,0.2,3.8588731810450554,1.0329054594039917,0.00025,0.020122688,-44.94954767227173,190
-0.035860687,182,43008,21,235,-0.029306347818055654,0.2634765625,1.358440637588501,0.3804789185523987,0.2,2.8939990647137166,1.0344023704528809,0.00025,0.026424553,-45.008548855781555,200
-0.58319134,183,45056,22,245,-0.020722003281116487,0.192919921875,0.6575087904930115,0.283474862575531,0.2,2.7055104188621044,1.0359852313995361,0.00025,0.020013947,-45.049576950073245,210
0.24442813,184,47104,23,255,-0.02120695106423227,0.20048828125,0.6458631753921509,0.3138214349746704,0.2,2.406214279681444,1.0371812582015991,0.00025,0.021067847,-45.09338028430939,220
0.67221975,184,49152,24,266,-0.027336262335302307,0.41650390625,-0.2797817885875702,0.8207376003265381,0.2,0.4800544214434922,1.0428228378295898,0.00025,0.04282789,-45.19902257919311,230
0.83077234,184,51200,25,276,-0.017181600804906338,0.1904296875,0.8348501920700073,0.30802661180496216,0.2,3.884999248385429,1.0435165166854858,0.00025,0.021984152,-45.28836739063263,240
-0.17647675,185,53248,26,286,-0.01605574703135062,0.278955078125,0.7975642681121826,0.31413739919662476,0.2,2.80643735229969,1.0441421270370483,0.00025,0.0324511,-45.310197067260745,250
-1.1365583,186,55296,27,296,-0.008289648887875955,0.187353515625,2.1258201599121094,0.1833016276359558,0.2,5.114960646629333,1.0447824001312256,0.00025,0.01442201,-45.325661945343015,260
-0.61077607,186,57344,28,306,-0.0067704626068007204,0.126611328125,2.0156211853027344,0.3072425127029419,0.2,4.99250906854868,1.0456194877624512,0.00025,0.017387934,-45.34984948635101,270
-0.3443902,187,59392,29,316,-0.00783964786096476,0.184423828125,2.7782833576202393,0.10135698318481445,0.2,9.812051206827164,1.0462802648544312,0.00025,0.01875345,-45.369660425186154,280
