train/reward,time/total_timesteps,train/actor_loss,time/episodes,time/fps,train/learning_rate,time/time_elapsed,train/critic_loss,train/n_updates
2.6747928,13412,260.5743103027344,4,60,0.001,222,10607.3251953125,13311
2.6747928,26824,199.66448974609375,8,59,0.001,448,54.340110778808594,26723
2.6747928,40236,130.41079711914062,12,59,0.001,674,18.25006103515625,40135
