train/reward,time/total_timesteps,time/iterations,train/value_loss,train/std,train/policy_loss,time/fps,train/learning_rate,time/time_elapsed,train/entropy_loss,train/n_updates,train/explained_variance
-0.050246734,500,100,0.26761871576309204,1.0078881978988647,7.855828762054443,107,0.0007,4,-44.22564697265625,99,-0.15412020683288574
0.491306,1000,200,2.754187822341919,1.009694218635559,-54.35515213012695,106,0.0007,9,-44.28334045410156,199,0.0
-3.3580627,1500,300,2.08732271194458,1.0111470222473145,1.2555389404296875,106,0.0007,14,-44.32252883911133,299,0.0
1.394678,2000,400,0.5547120571136475,1.0121532678604126,-24.77505111694336,107,0.0007,18,-44.361900329589844,399,0.0
-0.5485207,2500,500,7.873228549957275,1.009873390197754,14.988032341003418,107,0.0007,23,-44.28702163696289,499,0.0
1.8397924,3000,600,13.098310470581055,1.0119181871414185,55.13982391357422,108,0.0007,27,-44.348297119140625,599,-1.1920928955078125e-07
0.98635864,3500,700,1.074754238128662,1.0101720094680786,3.7042593955993652,108,0.0007,32,-44.28609848022461,699,0.0
4.762249,4000,800,1.7338066101074219,1.0086328983306885,-34.02793502807617,108,0.0007,36,-44.24882125854492,799,0.0
-3.5017412,4500,900,2.4364516735076904,1.0091640949249268,31.85213279724121,108,0.0007,41,-44.25884246826172,899,0.0
1.6367121,5000,1000,25.795312881469727,1.009141206741333,172.98593139648438,108,0.0007,46,-44.259315490722656,999,0.0
-2.5542243,5500,1100,72.92820739746094,1.0074262619018555,390.6158752441406,104,0.0007,52,-44.197505950927734,1099,0.0
0.89521736,6000,1200,205.13583374023438,1.0063562393188477,532.9794921875,104,0.0007,57,-44.17979431152344,1199,0.0
2.964381,6500,1300,245.5162353515625,1.0075995922088623,5.093640327453613,104,0.0007,61,-44.20783233642578,1299,5.960464477539063e-08
-0.48244163,7000,1400,1.554857611656189,1.0073201656341553,-8.392936706542969,105,0.0007,66,-44.20620346069336,1399,0.05492722988128662
0.5129165,7500,1500,5.709333896636963,1.0071102380752563,98.86500549316406,105,0.0007,70,-44.20005798339844,1499,-1.1920928955078125e-07
1.1363276,8000,1600,1.2299073934555054,1.0062310695648193,40.045562744140625,105,0.0007,75,-44.16922378540039,1599,-1.1920928955078125e-07
0.98679686,8500,1700,0.09210211783647537,1.0059728622436523,6.3716535568237305,105,0.0007,80,-44.168914794921875,1699,0.0
-0.3134283,9000,1800,22.243558883666992,1.006463646888733,-115.53630065917969,105,0.0007,85,-44.17634201049805,1799,1.1920928955078125e-07
-1.8767678,9500,1900,93.79576110839844,1.0079671144485474,79.35101318359375,105,0.0007,90,-44.229591369628906,1899,0.0
-3.948015,10000,2000,42.3120002746582,1.007969856262207,237.57760620117188,105,0.0007,94,-44.229190826416016,1999,0.0
-2.4924624,10500,2100,3.2224268913269043,1.008484959602356,-18.327795028686523,105,0.0007,99,-44.236488342285156,2099,5.960464477539063e-08
-1.6282959,11000,2200,3.2770538330078125,1.0099810361862183,-31.183059692382812,105,0.0007,104,-44.28752136230469,2199,0.0
-2.5660808,11500,2300,14.12744426727295,1.0124069452285767,154.65530395507812,105,0.0007,108,-44.35589599609375,2299,0.0
-0.50716496,12000,2400,137.4566192626953,1.0136783123016357,506.83489990234375,105,0.0007,113,-44.39280319213867,2399,0.0
-1.4014357,12500,2500,19.16185188293457,1.0141971111297607,-0.17669677734375,106,0.0007,117,-44.41255187988281,2499,-1.1920928955078125e-07
0.5544354,13000,2600,40.58684539794922,1.0147082805633545,-233.8079376220703,106,0.0007,122,-44.41804122924805,2599,0.0
-0.56512773,13500,2700,3.595750331878662,1.017364501953125,-78.45638275146484,106,0.0007,126,-44.504981994628906,2699,-0.14092028141021729
-1.3624974,14000,2800,13.497532844543457,1.0193321704864502,152.62083435058594,106,0.0007,131,-44.56462860107422,2799,0.0
1.8709267,14500,2900,20.97330665588379,1.0189307928085327,-179.5724334716797,106,0.0007,135,-44.55622863769531,2899,0.0
-0.7959479,15000,3000,10.982732772827148,1.0190119743347168,113.06710052490234,106,0.0007,140,-44.55758285522461,2999,0.0
-1.7608528,15500,3100,6.9315619468688965,1.0184786319732666,25.998157501220703,107,0.0007,144,-44.538848876953125,3099,0.0
17.111937,16000,3200,802.0203857421875,1.0197951793670654,1044.9207763671875,107,0.0007,149,-44.58763885498047,3199,1.7881393432617188e-07
-0.97700226,16500,3300,24.22710609436035,1.019532322883606,-10.137832641601562,107,0.0007,153,-44.56309509277344,3299,0.0
0.17393026,17000,3400,0.7353540062904358,1.0213555097579956,13.536127090454102,107,0.0007,158,-44.623043060302734,3399,-0.1540776491165161
0.043538243,17500,3500,0.5892202258110046,1.02277672290802,0.7645837664604187,107,0.0007,163,-44.6651611328125,3499,-0.0177309513092041
1.3969259,18000,3600,1.2622170448303223,1.0236872434616089,30.15053939819336,107,0.0007,167,-44.689292907714844,3599,-0.025321245193481445
-2.15595,18500,3700,10.864980697631836,1.0247842073440552,-77.2947998046875,107,0.0007,172,-44.72220230102539,3699,0.012379288673400879
2.49444,19000,3800,23.337553024291992,1.0253461599349976,83.7236099243164,107,0.0007,176,-44.735191345214844,3799,0.0
-5.1861954,19500,3900,521.8821411132812,1.0272932052612305,959.1201171875,107,0.0007,181,-44.7972526550293,3899,0.013412714004516602
10.64303,20000,4000,29.861175537109375,1.0275304317474365,125.23808288574219,107,0.0007,185,-44.803585052490234,3999,0.0
-1.7281696,20500,4100,10.225138664245605,1.0294030904769897,125.8767318725586,107,0.0007,190,-44.85430908203125,4099,-0.05454683303833008
0.30899683,21000,4200,4.816380500793457,1.0326069593429565,73.1419677734375,107,0.0007,194,-44.94075393676758,4199,0.0
2.3141332,21500,4300,4.932458400726318,1.030900001525879,-35.43071365356445,107,0.0007,199,-44.89253234863281,4299,0.0
0.26248917,22000,4400,4.891120910644531,1.0298829078674316,27.607341766357422,107,0.0007,203,-44.8653450012207,4399,1.1920928955078125e-07
0.9946727,22500,4500,8.092024803161621,1.0294855833053589,-77.6169662475586,108,0.0007,208,-44.84611129760742,4499,-0.03294539451599121
-1.8209182,23000,4600,15.317051887512207,1.0296837091445923,-147.86114501953125,108,0.0007,212,-44.850494384765625,4599,1.1920928955078125e-07
