train/reward,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_fraction,train/std,train/learning_rate,train/loss,train/n_updates,train/clip_range
-0.10506666,2048,1,178,11,,,,,,,,,,,
-0.40610966,4096,2,175,23,-0.037529826164245605,-39.78073887825012,-0.03367355859518284,0.015169256,2.4752558790147305,0.1755859375,1.0030912160873413,0.00025,0.775416910648346,10,0.2
-0.012159277,6144,3,173,35,-0.05852794647216797,-39.882627511024474,-0.02816593533498235,0.020339165,1.1102947065606714,0.2466796875,1.0070773363113403,0.00025,0.32051247358322144,20,0.2
-0.1742232,8192,4,173,47,-0.06746673583984375,-39.96649804115295,-0.02714465453464072,0.016046997,1.9167289018630982,0.16591796875,1.0104848146438599,0.00025,0.7152024507522583,30,0.2
-0.2922996,10240,5,172,59,0.05005478858947754,-40.04175748825073,-0.03336759652011097,0.016931836,2.102580515295267,0.1853515625,1.0116748809814453,0.00025,0.5490003824234009,40,0.2
-0.059588213,12288,6,171,71,0.5431757867336273,-40.10347046852112,-0.026139751871232873,0.026047189,0.3534169959835708,0.284130859375,1.0148600339889526,0.00025,-0.32490724325180054,50,0.2
-0.14201018,14336,7,171,83,0.09156471490859985,-40.13940551280975,-0.019929567692452112,0.015536401,2.9617978990077973,0.1650390625,1.0148686170578003,0.00025,1.208077311515808,60,0.2
-0.014458046,16384,8,170,95,0.09856051206588745,-40.16462013721466,-0.027292910497635603,0.018178087,1.8377275876700878,0.192626953125,1.016577124595642,0.00025,0.11243841052055359,70,0.2
0.18856405,18432,9,170,107,0.2690439224243164,-40.203038001060484,-0.027688950509764255,0.01933898,1.6029437731951475,0.1841796875,1.0176340341567993,0.00025,0.3711322546005249,80,0.2
-1.5897621,20480,10,170,119,-0.064827561378479,-40.21888840198517,-0.020170807841350325,0.012856741,3.7981272831559183,0.119921875,1.0176743268966675,0.00025,1.169804334640503,90,0.2
-0.16510509,22528,11,170,131,0.4359443783760071,-40.23370821475983,-0.024549911048961804,0.019033276,1.3571134831756353,0.216357421875,1.0191231966018677,0.00025,0.07748866081237793,100,0.2
1.8957379,24576,12,170,143,0.3234251141548157,-40.26645448207855,-0.01877865663554985,0.01443059,2.3546696290373803,0.15712890625,1.019858479499817,0.00025,0.6228227615356445,110,0.2
0.06755838,26624,13,171,155,0.34095704555511475,-40.284063529968265,-0.024040248472010715,0.020439679,2.371811632066965,0.18759765625,1.0201252698898315,0.00025,0.8365741968154907,120,0.2
-0.19930784,28672,14,171,167,0.2582475543022156,-40.29110062122345,-0.016392123317928053,0.009470667,5.753902931511402,0.100927734375,1.0206246376037598,0.00025,2.0682570934295654,130,0.2
-0.292474,30720,15,170,180,0.16058021783828735,-40.3120108127594,-0.023205118652549574,0.016044918,3.0616994917392732,0.18837890625,1.021701693534851,0.00025,1.0584063529968262,140,0.2
-0.12431109,32768,16,169,192,0.2866961359977722,-40.36331129074097,-0.02606471645704005,0.026453385,2.476619366556406,0.26748046875,1.02436363697052,0.00025,0.8703010082244873,150,0.2
-5.877431,34816,17,169,205,0.4641106128692627,-40.45144419670105,-0.023758700946928002,0.023851898,1.3548532344400883,0.2341796875,1.0282541513442993,0.00025,0.0617312490940094,160,0.2
-0.022378517,36864,18,169,218,0.24835246801376343,-40.526154088973996,-0.024819845470483416,0.016000666,3.8683880880475043,0.154736328125,1.0293035507202148,0.00025,1.5848567485809326,170,0.2
0.2641442,38912,19,168,231,0.11693024635314941,-40.5522025346756,-0.021295428089797497,0.017285634,4.984079833328724,0.185546875,1.0306628942489624,0.00025,1.7342236042022705,180,0.2
0.6033305,40960,20,167,244,0.16587728261947632,-40.56973688602447,-0.015181619554641656,0.010640322,5.7859470918774605,0.121337890625,1.0304700136184692,0.00025,2.4062821865081787,190,0.2
-0.29964113,43008,21,167,256,0.31176048517227173,-40.582680225372314,-0.017914114048471673,0.02471093,4.976729522645473,0.25,1.0319339036941528,0.00025,1.7229374647140503,200,0.2
-0.84123844,45056,22,167,269,0.24304479360580444,-40.61354560852051,-0.01730118030682206,0.011218185,6.488656982779503,0.141064453125,1.0325547456741333,0.00025,2.7709569931030273,210,0.2
0.23417604,47104,23,167,281,0.5228967368602753,-40.633938264846805,-0.023969736890285274,0.024606675,3.776934751868248,0.224365234375,1.0332705974578857,0.00025,1.4095324277877808,220,0.2
1.1336838,49152,24,167,294,0.24998116493225098,-40.65454342365265,-0.01356950619519921,0.022434302,5.9142900422215465,0.241845703125,1.0341728925704956,0.00025,2.3772072792053223,230,0.2
0.604054,51200,25,166,306,0.28234046697616577,-40.68108501434326,-0.017343608278315513,0.012318044,4.813447785377503,0.129052734375,1.0352935791015625,0.00025,1.5269172191619873,240,0.2
-0.25809264,53248,26,166,319,0.2569117546081543,-40.7145934343338,-0.01736020806420129,0.017670754,9.867846232652663,0.17431640625,1.036648154258728,0.00025,3.7924365997314453,250,0.2
-1.0729706,55296,27,166,331,0.334699809551239,-40.73541243076325,-0.010885200003394857,0.02038378,6.977634862065315,0.212451171875,1.036824345588684,0.00025,2.5658528804779053,260,0.2
-0.81174856,57344,28,166,344,0.6096399128437042,-40.76125407218933,-0.014875360394944437,0.03496049,5.122681604325772,0.186279296875,1.0396281480789185,0.00025,2.397141933441162,270,0.2
-0.99793196,59392,29,166,357,0.30423712730407715,-40.82376313209534,-0.017897046645521185,0.020315055,10.335890942811966,0.202490234375,1.0400623083114624,0.00025,6.987007141113281,280,0.2
