time/total_timesteps,train/learning_rate,time/episodes,time/time_elapsed,train/n_updates,train/reward,train/actor_loss,time/fps,train/critic_loss
13412,0.001,4,261,13311,4.0793257,-38.94969177246094,51,16.579795837402344
26824,0.001,8,517,26723,4.0793257,-24.977067947387695,51,9.36819076538086
40236,0.001,12,772,40135,4.0793257,-15.973491668701172,52,7.770883560180664
